KIT DE CALIPER IMPORTADOS BBP;;;;;;;;;;;
Referencia ;Descripción;Cantidad ;Diametro;;;Costos ;PRECIO $ CARACAS ;PRECIO $ ORIENTE ;C ATEGORIA;EQUIVALENCIA;MARCA 
15540;Kit de Caliper Hyundai Santa Fé, Pastilla D1297 8414, Kia Sorento Trasero.;1 Rueda;43,00mm;;;2,00;4,44;5,00;KIT DE CALIPER IMPORTADO;;
15546K;Kit de Caliper Toyota Series: LandCruiser, Sequoia, Tundra, Pastilla D1303 8419 ;1 Rueda;51,51mm;;;9,00;20,00;22,50;KIT DE CALIPER IMPORTADO;;
15574K;Kit de Caliper Mazda 3, 04/13, Mazda 5, 10/06 Pastilla D973 7957, Trasero.;1 Rueda;38,84mm;;;3,60;8,00;9,00;KIT DE CALIPER IMPORTADO;;
15604K;Kit de Caliper Toyota Series: 4Runner (2010/2021), Delantero.;1 Rueda;48,39mm;;;6,00;13,33;15,00;KIT DE CALIPER IMPORTADO;;
15619K;Kit de Caliper Mitsubishi Series: Eclipse, Galant, Outlander,Lancer, Caliber, Pastilla D1037 7940, Sebring;1 Rueda;35,89mm;;;3,60;8,00;9,00;KIT DE CALIPER IMPORTADO;;
41100;Kit de Caliper Jeep Grand Cherokee 93/98, Liberty, Wagoneer, Wrangler;1 Rueda;65,96mm;;;2,10;4,67;5,25;KIT DE CALIPER IMPORTADO;;
41120;Kit de Caliper Ford Bronco, F-150 87/96, Econoline, E-150;1 Rueda;72,46mm;;;2,80;6,22;7,00;KIT DE CALIPER IMPORTADO;;
41122;Kit de Caliper Chevrolet: Grand Blazer, 92/94, C1500 88/99, Pastilla 7259;1 Rueda;74,78mm;;;3,60;8,00;9,00;KIT DE CALIPER IMPORTADO;;
41160K;Chevrolet Series: Blazer, 97/05, Jimmy, S10 Trasero.;1 Rueda;48,95mm;;;4,00;8,89;10,00;KIT DE CALIPER IMPORTADO;;
41162;Kit de Caliper Ford F-150, Expedition Delantero, Pastilla D702 7576;1 Rueda;50,42mm;;;6,00;13,33;15,00;KIT DE CALIPER IMPORTADO;;
41171-I;Kit de Caliper Chevrolet Series: Blazer (97/02) Delantero.;1 Rueda;45,86mm;;;4,20;9,33;10,50;KIT DE CALIPER IMPORTADO;;
41267;Kit de Caliper Jeep Liberty  Delantero, 2008/12, Pastilla D1273 8389;1 Rueda;65,96mm;;;2,20;4,89;5,50;KIT DE CALIPER IMPORTADO;;
41270;Kit de Caliper Ford F-350, 2013/15 Delantero, Pastilla D1680 8909  ;1Rueda;60,00mm;;;5,00;11,11;12,50;KIT DE CALIPER IMPORTADO;;
41271;Kit de Caliper Ford F-350, 2013/15, Trasero, Pastilla D1691 8918;1Rueda;51,50mm;;;4,50;10,00;11,25;KIT DE CALIPER IMPORTADO;;
41295K;Kit de Caliper Chevrolet Cruze11/15, Sonic 13/16, Delantero, Mazda 3, Fusion Trasero.;1 Rueda;61,01mm;;;4,80;10,67;12,00;KIT DE CALIPER IMPORTADO;;
41410-I;Kit de Caliper Dodge Ram, T1500/2500/3500, Ford F-350 97/95;1 Rueda;55,62mm;;;4,50;10,00;11,25;KIT DE CALIPER IMPORTADO;;
41412;Kit de Caliper Jeep Liberty Trasero, Pastilla D981 7863,Ford Explorer 95/10, Jeep Grand Cherokee 94/98 Trasero.;1 Rueda;47,90mm;;;2,20;4,89;5,50;KIT DE CALIPER IMPORTADO;;
41412-S;Kit de Caliper Jeep Liberty, Trasero, Pastilla D981 7863, (Guarda polvos de Silicona),Ford Explorer, 95/10, Jeep Grand Cherokee 94/98 Trasero.;1 Rueda;47,90mm;;;3,00;6,67;7,50;KIT DE CALIPER IMPORTADO;;
41416;Kit de Caliper Ford Explorer 95/05, Ranger 95/11, Mazda B2300 99/01;1 Rueda;46,00mm;;;4,80;10,67;12,00;KIT DE CALIPER IMPORTADO;;
41424K;Kit de Caliper Chevrolet Silverado 99/02 Pastilla, D785 7653;1 Rueda;57,13mm;;;7,00;15,56;17,50;KIT DE CALIPER IMPORTADO;;
41425;Kit de Caliper Chevrolet Silverado, Pastilla D1092 7997;1 Rueda;50,95mm;;;4,50;10,00;11,25;KIT DE CALIPER IMPORTADO;;
41430;Kit de Caliper Chevrolet Express 1500/2500, Avalan, Silverado, Tahoe, Trasero.;1 Rueda;45,62mm;;;3,60;8,00;9,00;KIT DE CALIPER IMPORTADO;;
41432;Kit de Caliper Ford F-350 Super Duty, Pastilla D756 7625;1 Rueda;55,42mm;;;3,60;8,00;9,00;KIT DE CALIPER IMPORTADO;;
41434;Kit de Caliper Grand Cherokee 99/02, Pastilla 7661, Grand Cherokee 11/18, Pastilla 8698;1 Rueda;48,64mm;;;1,80;4,00;4,50;KIT DE CALIPER IMPORTADO;;
41435;Kit de Caliper Avalanche, Express 3500, Silverado,Trasero, Pastilla D792 7662;2 Ruedas;55,42mm;;;3,50;7,78;8,75;KIT DE CALIPER IMPORTADO;;
41435K;Kit de Caliper Chevrolet Silverado Trasero, 99/07, Pastilla D792 7662.;1 Rueda;55,42mm;;;5,00;11,11;12,50;KIT DE CALIPER IMPORTADO;;
41436K;Kit de Caliper Dodge Ram, T2500/3500, 09/10 Delantero, Pastilla D1399 8507.;1 Rueda;56,94mm;;;7,80;17,33;19,50;KIT DE CALIPER IMPORTADO;;
41438;Kit de Caliper Chevrolet Series: Avalanche, C-1500, Tahoe (00/02) Trasero.;1 Rueda;45,85mm;;;5,80;12,89;14,50;KIT DE CALIPER IMPORTADO;;
41443;Kit de Caliper Grand Cherokee 99/02, Pastilla 7660, Grand Cherokee 11/18, Pastilla 8856.;1 Rueda;48,64mm;;;3,20;7,11;8,00;KIT DE CALIPER IMPORTADO;;
41450K;Kit de Caliper Dodge Ram, T1500/2500, 03/08 Trasero, Pastilla D1077 7865.;1 Rueda;43.90mm;;;7,20;16,00;18,00;KIT DE CALIPER IMPORTADO;;
41455K;Kit de Caliper Ford Focus Trasero, 00/11 Pastilla D886 7763.;1 Rueda;34,42mm;;;9,00;20,00;22,50;KIT DE CALIPER IMPORTADO;;
41467;Kit de CaliperJeep Grand Cherokee, 99/04, Pastilla D945 7846;1 Rueda;48,80mm;;;2,50;5,56;6,25;KIT DE CALIPER IMPORTADO;;
41468;Kit de Caliper Chevrolet Express 2500/3500, Trasero, 2003/12, Pastilla D974 7881;1 Rueda;51,92mm;;;3,00;6,67;7,50;KIT DE CALIPER IMPORTADO;;
41470; Kit de Caliper F-150 06/12, Pastilla D1012 7916, Dodge Dakota 03/04, Trasero.;1 Rueda;50,95mm;;;2,40;5,33;6,00;KIT DE CALIPER IMPORTADO;;
41473K;Kit de Caliper Chevrolet Series: Blazer, 95/02, Celebrity, Malibú 78/83.;1 Rueda;63,68mm;;;5,40;12,00;13,50;KIT DE CALIPER IMPORTADO;;
41486;Kit de Caliper ChevroletTrail Blazer 02/05, Delantero, Luv D Max Delantero, Pastilla 7943.;1 Rueda;46,25mm;;;6,00;13,33;15,00;KIT DE CALIPER IMPORTADO;;
41487;Kit de Caliper  Delantero, Luv D Max 4x4 2012/2014 , Pastilla D1677 8906;1 Rueda;44,5mm;;;10,00;22,22;25,00;KIT DE CALIPER IMPORTADO;;
41497;Kit de Caliper Grand Cherokee, Pastilla D1080 7985, Commander;1 Rueda;47,90mm;;;4,20;9,33;10,50;KIT DE CALIPER IMPORTADO;;
41497-T;Kit de Caliper Grand Cherokee Trasero, 2005/2010, Pastilla D1087 7945;1 Rueda;47,90mm;;;2,40;5,33;6,00;KIT DE CALIPER IMPORTADO;;
41502;Kit de Caliper Ford F-150 Delantera, 2005/09 Pastilla D1011 7915;1 Rueda;54,00mm;;;4,80;10,67;12,00;KIT DE CALIPER IMPORTADO;;
41509;Kit de Caliper Chevrolet TrailBlazer 4x4, Delantero, 06/07, Pastilla D1169 8282;1 Rueda;47,90mm;;;4,80;10,67;12,00;KIT DE CALIPER IMPORTADO;;
