KIT DE CALIPER IMPORTADOS BBP;;;;;;;;;;;
Referencia ;Descripción;Cantidad ;Diametro;;;Costos ;PRECIO $ CARACAS ;PRECIO $ ORIENTE ;C ATEGORIA;EQUIVALENCIA;MARCA 
26940;Kit de Caliper, Chevrolet NPR,Dyna, Delantero, Canter, Delantero/Trasero, 1-3/16¨ (4 Piezas);1 Rueda;"1-3/16"".mm";;;4,60;10,22;11,50;KIT DE CALIPER NACIONAL ;;GENERAL MOTOR
41143;Kit de Caliper, Chevrolet 3500;2 Ruedas;85.73mm;;;9,80;21,78;24,50;KIT DE CALIPER NACIONAL ;;GENERAL MOTOR
41160;Kit de Caliper, Chevrolet Blazer 4x4 (97/02) Trasero.;2 Ruedas;48.mm;;;3,70;8,22;9,25;KIT DE CALIPER NACIONAL ;;GENERAL MOTOR
41170;Kit de Caliper, Chevrolet Silverado 1500, 06/07, Delantero, Pastilla.7997;1 Rueda;50.mm;;;9,50;21,11;23,75;KIT DE CALIPER NACIONAL ;;GENERAL MOTOR
41171;Kit de Caliper, Chevrolet Blazer 4x4 (97/02) Delantero.;1 Rueda;46.mm;;;9,50;21,11;23,75;KIT DE CALIPER NACIONAL ;;GENERAL MOTOR
41173;Kit de Caliper, Chevrolet Silverado 1500, Delantero, (99/05), Grand Blazer 00/04, Grand Blazer, (00/04) Delantero, Chevy Van Express;1 Rueda;50.mm;;;9,50;21,11;23,75;KIT DE CALIPER NACIONAL ;;GENERAL MOTOR
41174;Kit de Caliper, Chevrolet C-3500, 00/02, C-20/30, 00/04;1 Rueda;57.mm;;;9,50;21,11;23,75;KIT DE CALIPER NACIONAL ;;GENERAL MOTOR
41175;Kit de Caliper, Chevrolet Silverado 1500, (99/04), Trasero.;2 Ruedas;55.mm;;;9,50;21,11;23,75;KIT DE CALIPER NACIONAL ;;GENERAL MOTOR
41176;Kit de Caliper, Chevrolet Silverado, C-3500, (03/06), Delantero/Trasero.;1 Rueda;60.mm;;;9,50;21,11;23,75;KIT DE CALIPER NACIONAL ;;GENERAL MOTOR
41206;Kit de Caliper,Chevrolet Trail Blazer 02/05 Delantero.;1 Rueda;45.5.mm;;;9,50;21,11;23,75;KIT DE CALIPER NACIONAL ;;GENERAL MOTOR
55830;Kit de Caliper, Chevrolet Swift 1.3, 1.6;2 Ruedas;48.mm;;;9,10;20,22;22,75;KIT DE CALIPER NACIONAL ;;GENERAL MOTOR
59176;Kit de Caliper, Chevrolet Caprice, C-10, Grand Wagoneer;2 Ruedas;74.61.mm;;;10,50;23,33;26,25;KIT DE CALIPER NACIONAL ;;GENERAL MOTOR
83297;Kit de Caliper, Chevrolet C-30;2 Ruedas;85.73.mm;;;4,00;8,89;10,00;KIT DE CALIPER NACIONAL ;;GENERAL MOTOR
99024;Kit de Caliper, Chevrolet Malibú, Century, Celebrity;2 Ruedas;62.mm;;;10,50;23,33;26,25;KIT DE CALIPER NACIONAL ;;GENERAL MOTOR
104387;Kit de Caliper, Chevrolet Monza  ;2 Ruedas;48.mm;;;9,00;20,00;22,50;KIT DE CALIPER NACIONAL ;;GENERAL MOTOR
104388;Kit de Caliper, Chevrolet Chevette, (12 Piezas);2 Ruedas;48.mm;;;5,00;11,11;12,50;KIT DE CALIPER NACIONAL ;;GENERAL MOTOR
109549;Kit de Caliper, Chevrolet Optra Delantero.;2 Ruedas;54.mm;;;3,70;8,22;9,25;KIT DE CALIPER NACIONAL ;;GENERAL MOTOR
109550;Kit de Caliper, Chevrolet Optra Trasero.;2 Ruedas;32.mm;;;3,70;8,22;9,25;KIT DE CALIPER NACIONAL ;;GENERAL MOTOR
109551;Kit de Caliper, Chevrolet Aveo Delantero.;2 Ruedas;54.mm;;;4,00;8,89;10,00;KIT DE CALIPER NACIONAL ;;GENERAL MOTOR
116321;Kit de Caliper, Chevrolet Cheyenne 1500;2 Ruedas;74.61mm;;;10,50;23,33;26,25;KIT DE CALIPER NACIONAL ;;GENERAL MOTOR
117943;Kit de Caliper, Chevrolet D-Max;1 Rueda;45.45mm;;;9,50;21,11;23,75;KIT DE CALIPER NACIONAL ;;GENERAL MOTOR
260042;Kit de Caliper, Isuzu Caribe Trasero;2 Ruedas;42.mm;;;3,60;8,00;9,00;KIT DE CALIPER NACIONAL ;;GENERAL MOTOR
941198;Kit de Caliper, Chevrolet Esteem Delantero.;2 Ruedas;54.mm;;;5,80;12,89;14,50;KIT DE CALIPER NACIONAL ;;GENERAL MOTOR
94136642;Kit de Caliper, Isuzu Caribe ;2 Ruedas;60.mm;;;3,60;8,00;9,00;KIT DE CALIPER NACIONAL ;;GENERAL MOTOR
94136643;Kit de Caliper, Isuzu Caribe ;2 Ruedas;57.mm;;;3,60;8,00;9,00;KIT DE CALIPER NACIONAL ;;GENERAL MOTOR
104388CA;Kit de Caliper, Chevrolet Chevette, (16 Piezas con abrazaderas);2 Ruedas;48.mm;;;10,00;22,22;25,00;KIT DE CALIPER NACIONAL ;;GENERAL MOTOR
26930FP;Kit de Caliper, Chevrolet NPR/Toyota Dyna Trasero, 1-5/16 (4 Piezas);1 Rueda;"1-5/16"".mm";;;4,00;8,89;10,00;KIT DE CALIPER NACIONAL ;;GENERAL MOTOR
26940FP;Kit de Caliper, Chevrolet NPR,Dyna, Delantero, Canter, Delantero/Trasero, 1-3/16¨ (4 Piezas);1 Rueda;"1-3/16"".mm";;;4,00;8,89;10,00;KIT DE CALIPER NACIONAL ;;GENERAL MOTOR
CHRYSLER;;;;;;;;;KIT DE CALIPER NACIONAL ;;CHRYSLER 
1048;Kit de Caliper, Dodge Ram 1500 03/04 Trasero.;2 Ruedas;57.mm;;;3,60;8,00;9,00;KIT DE CALIPER NACIONAL ;;CHRYSLER 
4198;Kit de Caliper, Chrysler Neon;2 Ruedas;54.mm;;;9,20;20,44;23,00;KIT DE CALIPER NACIONAL ;;CHRYSLER 
41183;Kit de Caliper, Grand Cherokee (99/02), Delentero, 1Rda.,Tras 2 Rdas;1 o 2 Ruedas;48.mm;;;9,20;20,44;23,00;KIT DE CALIPER NACIONAL ;;CHRYSLER 
41186;Kit de Caliper, Grand Cherokee (03/04) Delantero;1 Rueda;48.mm;;;4,00;8,89;10,00;KIT DE CALIPER NACIONAL ;;CHRYSLER 
59177;Kit de Caliper, Dodge Dart/Aspen/Le Baron;2 Ruedas;69.85.mm;;;3,60;8,00;9,00;KIT DE CALIPER NACIONAL ;;CHRYSLER 
106380;Kit de Caliper, Cherokee/Wagoneer (89…);2 Ruedas;65.68.mm;;;10,50;23,33;26,25;KIT DE CALIPER NACIONAL ;;CHRYSLER 
116324;Kit de Caliper, Dodge Ram 1500,2500,3500 4x4 00/01 Delantero.;1 Rueda;57.mm;;;10,50;23,33;26,25;KIT DE CALIPER NACIONAL ;;CHRYSLER 
132786;Kit de Caliper, Dodge Ram 1500 (2000);1 Rueda;54.mm;;;9,20;20,44;23,00;KIT DE CALIPER NACIONAL ;;CHRYSLER 
132787;Kit de Caliper, Jeep Grand Cherokee Trasero, Pastilla.7502;2 Ruedas;48.mm;;;9,20;20,44;23,00;KIT DE CALIPER NACIONAL ;;CHRYSLER 
12057001;Kit de Caliper, Chrysler Neon, Stratus, Spirit Trasero.;2 Ruedas;34.mm;;;8,80;19,56;22,00;KIT DE CALIPER NACIONAL ;;CHRYSLER 
DAEWOO;;;;;;;;;KIT DE CALIPER NACIONAL ;;DAEWOO
5401;Kit de Caliper, Daewoo Matiz;2 Ruedas;49.mm;;;3,40;7,56;8,50;KIT DE CALIPER NACIONAL ;;DAEWOO
7267;Kit de Caliper, Daewoo Cielo;2 Ruedas;48.mm;;;9,00;20,00;22,50;KIT DE CALIPER NACIONAL ;;DAEWOO
IVECO;;;;;;;;;KIT DE CALIPER NACIONAL ;;IVECO 
93161181;Kit de Caliper, Iveco 5912, Delantero.;2 Ruedas;;;;15,00;33,33;37,50;KIT DE CALIPER NACIONAL ;;IVECO 
93161847;Kit de Caliper, Iveco 3510, 4010, 4012;2 Ruedas;44.5mm;;;5,70;12,67;14,25;KIT DE CALIPER NACIONAL ;;IVECO 
LADA;;;;;;;;;KIT DE CALIPER NACIONAL ;;LADA
1058;Kit de Caliper, Lada Sedan Matriushka;2 Rudas;48.mm;;;3,30;7,33;8,25;KIT DE CALIPER NACIONAL ;;LADA
RENAULT;;;;;;;;;KIT DE CALIPER NACIONAL ;;RENAULT 
1118;Kit de Caliper, Renault R-11, R-18;2 Ruedas;48.mm;;;3,40;7,56;8,50;KIT DE CALIPER NACIONAL ;;RENAULT 
471080;Kit de Caliper, Renault R-30 Trasero.;2 Ruedas;;;;3,40;7,56;8,50;KIT DE CALIPER NACIONAL ;;RENAULT 
FIAT;;;;;;;;;KIT DE CALIPER NACIONAL ;;FIAT
5881952;Kit de Caliper, Fiat Ritmo, Regata, Renault R-18;2 Ruedas;48.mm;;;3,40;7,56;8,50;KIT DE CALIPER NACIONAL ;;FIAT
7073026;Kit de Caliper, Fiat 147  Tucan Spazio;2 Ruedas;48.mm;;;3,40;7,56;8,50;KIT DE CALIPER NACIONAL ;;FIAT
KIA;;;;;;;;;KIT DE CALIPER NACIONAL ;;KIA
5950;Kit de Caliper, Kia Rio (01/02);2 Ruedas;51.mm;;;3,60;8,00;9,00;KIT DE CALIPER NACIONAL ;;KIA
15244;Kit de Caliper, Kia Sportage 98/02 Delantero.;1 Rueda;57.mm;;;3,60;8,00;9,00;KIT DE CALIPER NACIONAL ;;KIA
15255;Kit de Caliper, Kia Rio 03/04, Mitsubishi Lancer 02/05, Delantero.;1 Rueda;54.mm;;;3,60;8,00;9,00;KIT DE CALIPER NACIONAL ;;KIA
15273;Kit de Caliper, Kia Sorento 03/05 Delantero.;1 Rueda;48.mm;;;3,60;8,00;9,00;KIT DE CALIPER NACIONAL ;;KIA
15274;Kit de Caliper, Kia Sorento 03/05 Trasero.;1 Rueda;46.mm;;;3,60;8,00;9,00;KIT DE CALIPER NACIONAL ;;KIA
VOLKSWAGEN;;;;;;;;;KIT DE CALIPER NACIONAL ;;VOLKSWAGEN 
D-40;Kit de Caliper, Volkswagen Sedán (…78);2 Ruedas;40.mm;;;4,70;10,44;11,75;KIT DE CALIPER NACIONAL ;;VOLKSWAGEN 
15260;Kit de Caliper, Volkswagen Golf GTI (03/05) Delantero, Jetta, New Beetle, Gol;2 Ruedas;40.mm;;;3,40;7,56;8,50;KIT DE CALIPER NACIONAL ;;VOLKSWAGEN 
HYUNDAI;;;;;;;;;KIT DE CALIPER NACIONAL ;;HYUNDAI
7329;Kit de Caliper, Hyundai Elantra;2 Ruedas;57.mm;;;3,60;8,00;9,00;KIT DE CALIPER NACIONAL ;;HYUNDAI
7379;Kit de Caliper, Hyundai Excel;2 Ruedas;54.mm;;;3,60;8,00;9,00;KIT DE CALIPER NACIONAL ;;HYUNDAI
351525;Kit de Caliper, Hyundai Accent;2 Ruedas;51.mm;;;3,60;8,00;9,00;KIT DE CALIPER NACIONAL ;;HYUNDAI
MITSUBISHI;;;;;;;;;KIT DE CALIPER NACIONAL ;;MITSUBISHI 
7955;Kit de Caliper, Mitsubishi Van;2 Ruedas;60.mm;;;3,40;7,56;8,50;KIT DE CALIPER NACIONAL ;;MITSUBISHI 
15177;Kit de Caliper, Mitsubishi MF,MX;2 Ruedas;57.mm;;;4,70;10,44;11,75;KIT DE CALIPER NACIONAL ;;MITSUBISHI 
15187;Kit de Caliper, Mitsubishi Lancer (97/00) Delantero.;2 Ruedas;54.mm;;;3,60;8,00;9,00;KIT DE CALIPER NACIONAL ;;MITSUBISHI 
MAZDA;;;;;;;;;KIT DE CALIPER NACIONAL ;;MAZDA
119193;Kit de Caliper, 323, Protége, Tracer, Delantero, Con Abrazaderas;2 Ruedas;48.mm;;;4,10;9,11;10,25;KIT DE CALIPER NACIONAL ;;MAZDA
;;;;;;;;;KIT DE CALIPER NACIONAL ;;
